HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.USDA,Answer.DOC,Answer.DOD,Answer.ED,Answer.DOE,Answer.HHS,Answer.DHS,Answer.DOJ,Answer.VA,Answer.TREAS,Answer.percentAreGiven,Answer.percentShouldBeGiven,Answer.percentToCovidRelief,Answer.question-type.Equally,Answer.question-type.Proportionate_to_population,Answer.question-type.Proportionate_to_spending,Approve,Reject
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,320DUZ38GFE2OL7UIIRO4LMRIAJGJL,A2FKJDWCKMQLWV,Approved,Mon Apr 26 11:55:35 PDT 2021,Mon Apr 26 11:56:40 PDT 2021,Thu May 06 11:56:40 PDT 2021,Wed May 05 19:40:19 PDT 2021,,,65,100% (1/1),100% (1/1),100% (1/1),9,8,8,9,7,7,6,7,5,6,89,99,75,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,32EYX73OY812RRR2ASPEAR991S8URT,A3TESMS34MIFNG,Approved,Sat Apr 24 13:44:08 PDT 2021,Sat Apr 24 13:46:45 PDT 2021,Tue May 04 13:46:45 PDT 2021,Tue May 04 13:47:09 PDT 2021,,,157,100% (1/1),100% (1/1),100% (1/1),5,4,4,6,7,10,6,3,4,6,47,25,36,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,32KTQ2V7RL7DAJQ779Y6SWSLIGTM9S,A3PTQEX27BOO6B,Approved,Fri Apr 23 11:07:42 PDT 2021,Fri Apr 23 11:09:59 PDT 2021,Mon May 03 11:09:59 PDT 2021,Mon May 03 11:10:41 PDT 2021,,,137,100% (1/1),100% (1/1),100% (1/1),6,9,3,5,5,4,2,3,3,7,53,25,27,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,32M8BPYGA1E6TANO006OSK7R5M0IGZ,A1ITEGLA8ZQ8TL,Approved,Fri Apr 23 18:47:22 PDT 2021,Fri Apr 23 18:49:00 PDT 2021,Mon May 03 18:49:00 PDT 2021,Mon May 03 18:49:46 PDT 2021,,,98,100% (1/1),100% (1/1),100% (1/1),2,5,7,3,4,1,10,9,6,8,50,20,10,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,32M8BPYGA1E6TANO006OSK7R6B6IGK,A2LB991VRUQBX,Approved,Fri Apr 30 06:34:56 PDT 2021,Fri Apr 30 06:36:29 PDT 2021,Mon May 10 06:36:29 PDT 2021,Wed May 05 19:40:19 PDT 2021,,,93,100% (1/1),100% (1/1),100% (1/1),2,2,4,3,2,9,5,4,4,3,41,45,56,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,32UTUBMZ7OOFOZZDJLDT6Y6OXHIBVY,A20QXCW2IQ1JTI,Approved,Sun Apr 25 17:40:05 PDT 2021,Sun Apr 25 17:40:37 PDT 2021,Wed May 05 17:40:37 PDT 2021,Wed May 05 17:41:33 PDT 2021,,,32,100% (1/1),100% (1/1),100% (1/1),9,6,7,8,9,7,8,9,9,6,38,64,74,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,337RC3OW0DUR18LPAY2NK12TAZCVLY,A3QJ8NM1LLF6OO,Approved,Sat May 01 18:49:11 PDT 2021,Sat May 01 18:50:33 PDT 2021,Tue May 11 18:50:33 PDT 2021,Wed May 05 19:40:19 PDT 2021,,,82,100% (1/1),100% (1/1),100% (1/1),3,2,7,4,6,1,9,10,8,5,15,13,53,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,33CID5710CL7PZJ6QOWH16AAIEJL3O,A103BJIOJSDJL1,Approved,Thu Apr 22 13:18:05 PDT 2021,Thu Apr 22 13:18:39 PDT 2021,Sun May 02 13:18:39 PDT 2021,Sun May 02 13:19:21 PDT 2021,,,34,100% (2/2),100% (2/2),100% (1/1),4,8,4,6,5,2,4,2,7,4,38,68,41,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,33CUSNVVNV4YBP5T8GI9NIWFFV7883,A1CTJ8UT7SF317,Approved,Thu Apr 29 18:54:53 PDT 2021,Thu Apr 29 18:55:18 PDT 2021,Sun May 09 18:55:18 PDT 2021,Wed May 05 19:40:19 PDT 2021,,,25,100% (1/1),100% (1/1),100% (1/1),9,9,9,9,10,10,10,10,10,10,69,49,81,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,33L7PJKHCOQH99XHBET4EES2SDQT8K,A21F3JVYYDOQ7W,Approved,Thu Apr 22 12:31:32 PDT 2021,Thu Apr 22 12:33:40 PDT 2021,Sun May 02 12:33:40 PDT 2021,Sun May 02 12:34:21 PDT 2021,,,128,100% (1/1),100% (1/1),100% (1/1),5,6,8,2,3,9,10,5,3,4,77,70,80,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,33LKR6A5KMCZY9DWCTKPZ45UFYFT1E,AESKW0ROSKQTX,Approved,Wed Apr 28 14:43:08 PDT 2021,Wed Apr 28 14:43:40 PDT 2021,Sat May 08 14:43:40 PDT 2021,Wed May 05 19:40:19 PDT 2021,,,32,100% (1/1),100% (1/1),100% (1/1),6,8,4,6,3,2,5,6,4,7,61,57,75,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,34BBWHLWHI32QWDOF5A6ENTFZBNWIB,AGN2WNWU7JSYF,Approved,Sat Apr 24 04:03:42 PDT 2021,Sat Apr 24 04:05:47 PDT 2021,Tue May 04 04:05:47 PDT 2021,Tue May 04 04:05:49 PDT 2021,,,125,100% (1/1),100% (1/1),100% (1/1),1,1,5,2,2,1,3,1,1,1,72,73,10,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,34MAJL3QPCFBRRCLKWX0FP8ZXRQ43F,A2NJMSMQ1Z0UOC,Approved,Fri Apr 30 21:08:23 PDT 2021,Fri Apr 30 21:10:04 PDT 2021,Mon May 10 21:10:04 PDT 2021,Wed May 05 19:40:19 PDT 2021,,,101,100% (1/1),100% (1/1),100% (1/1),2,8,10,3,7,1,6,4,5,9,60,5,20,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,34T446B1C86I53Q3UOLZWPMGLS20C7,A3I4J5X509FJNF,Approved,Thu Apr 22 11:20:57 PDT 2021,Thu Apr 22 11:22:55 PDT 2021,Sun May 02 11:22:55 PDT 2021,Sun May 02 11:23:21 PDT 2021,,,118,100% (2/2),100% (2/2),100% (1/1),8,8,2,2,3,2,2,4,2,5,75,50,25,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,358010RM5MLM122EOH5BVVXGHF0VXC,A1RLH0W5XDW0HA,Approved,Mon May 03 17:38:16 PDT 2021,Mon May 03 17:39:32 PDT 2021,Thu May 13 17:39:32 PDT 2021,Wed May 05 19:40:19 PDT 2021,,,76,100% (1/1),100% (1/1),100% (1/1),1,10,9,10,10,3,10,10,5,10,94,8,11,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,358UUM7WR7V0TGF6XKW30ZVPTAH7RW,AE1A69PS9RKC4,Approved,Thu Apr 22 22:46:39 PDT 2021,Thu Apr 22 22:47:29 PDT 2021,Sun May 02 22:47:29 PDT 2021,Sun May 02 22:47:33 PDT 2021,,,50,100% (2/2),100% (2/2),100% (1/1),4,5,4,4,4,5,8,6,5,5,44,100,68,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,35DR22AR5LC2PT0V47Z5C05XP0S3XH,A12PYXFF68QGF6,Approved,Sun Apr 25 20:53:38 PDT 2021,Sun Apr 25 20:56:11 PDT 2021,Wed May 05 20:56:11 PDT 2021,Wed May 05 19:40:20 PDT 2021,,,153,100% (1/1),100% (1/1),100% (1/1),8,9,6,3,7,1,5,2,4,10,60,40,30,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,35DR22AR5LC2PT0V47Z5C05XQ5MX3G,A2UAU84Z73N04W,Approved,Mon Apr 26 18:13:13 PDT 2021,Mon Apr 26 18:15:14 PDT 2021,Thu May 06 18:15:14 PDT 2021,Wed May 05 19:40:20 PDT 2021,,,121,100% (1/1),100% (1/1),100% (1/1),5,6,0,10,3,9,1,8,3,7,60,18,12,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,36W0OB37H466OW79KACSDFMIGSWHZX,A2HR7ZIX42FEPG,Approved,Thu Apr 22 11:49:18 PDT 2021,Thu Apr 22 11:50:47 PDT 2021,Sun May 02 11:50:47 PDT 2021,Sun May 02 11:51:21 PDT 2021,,,89,100% (1/1),100% (1/1),100% (1/1),6,7,10,1,5,2,9,8,3,4,21,2,34,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,378XPAWRUK55JJALE0EEWYWO7MYIAO,AST18D0A65MJX,Approved,Fri Apr 23 03:47:11 PDT 2021,Fri Apr 23 03:49:02 PDT 2021,Mon May 03 03:49:02 PDT 2021,Mon May 03 03:49:34 PDT 2021,,,111,100% (1/1),100% (1/1),100% (1/1),7,8,6,5,8,8,7,4,5,6,83,62,40,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,379J5II41W8AZXZ3F8DDKXE7930LE6,ADQHGQF65JJ08,Approved,Thu Apr 22 12:17:51 PDT 2021,Thu Apr 22 12:19:34 PDT 2021,Sun May 02 12:19:34 PDT 2021,Sun May 02 12:20:21 PDT 2021,,,103,100% (1/1),100% (1/1),100% (1/1),10,10,10,10,5,10,5,5,10,2,18,6,20,FALSE,TRUE,FALSE,,
